Company,Market cap($B),Share Price,Pct_change,Trend,Country
Hong Kong Exchanges & Clearing,39.17,30.98,2.34,down,Hong Kong
Grayscale Bitcoin Trust,38.97,56.29,10.07,up,USA
Reckitt Benckiser,38.89,55.72,0.42,up,UK
Hikvision,38.84,4.16,0.73,up,China
Fastenal,38.84,67.83,3.65,up,USA
Banco Santander Brasil,38.77,5.19,0.57,down,Brazil
Adani Ports & SEZ,38.76,17.94,0.27,up,India
STMicroelectronics,38.73,42.13,1.27,down,Switzerland
Cenovus Energy,38.59,20.65,3.77,up,Canada
Electronic Arts,38.53,145.0,0.47,down,USA
Deutsche Börse,38.49,207.95,0.08,down,Germany
QNB (Qatar National Bank),38.44,4.16,0.33,down,Qatar
Imperial Oil,38.42,71.41,1.38,up,Canada
Emirates Telecom (Etisalat Group),38.31,4.41,0.62,up,UAE
3i Group,38.29,39.71,0.16,down,UK
Agilent Technologies,38.22,131.01,0.92,down,USA
The Hershey Company,38.2,188.92,0.01,down,USA
EQT,38.19,32.3,0.17,down,Sweden
Quanta Computer,38.16,9.9,0.15,down,Taiwan
Powergrid Corporation of India,38.13,4.1,0.41,down,India
Woodside Energy,37.99,20.01,0.05,up,Australia
Adyen,37.97,1223.0,1.56,down,Netherlands
Coupang,37.86,21.18,2.93,down,S. Korea
Coal India,37.8,6.13,2.95,up,India
First Abu Dhabi Bank,37.77,3.42,0.48,up,UAE
Quanta Services,37.65,257.24,4.3,down,USA
Kroger,37.61,52.12,0.7,down,USA
Diamondback Energy,37.61,210.93,3.31,up,USA
Mitsubishi Electric,37.58,18.0,2.7,up,Japan
Singtel,37.47,2.27,1.33,up,Singapore
Dow,37.45,53.27,0.68,up,USA
Agnico Eagle Mines,37.31,74.75,0.49,down,Canada
Loblaw Companies,37.24,121.43,0.14,down,Canada
MS&AD Insurance,37.2,23.64,1.22,up,Japan
PSEG,37.12,74.54,2.28,down,USA
Bayan Resources,36.99,1.11,0.14,down,Indonesia
Corteva,36.87,52.9,0.38,down,USA
Flutter Entertainment,36.81,207.21,0.01,down,Ireland
Mahindra & Mahindra,36.78,33.0,0.94,up,India
Fubon Financial,36.64,2.82,0.88,up,Taiwan
Bank Mandiri,36.64,0.39,0.0,up,Indonesia
GE HealthCare Technologies,36.6,80.19,0.11,down,USA
ENGIE,36.59,15.09,0.43,down,France
Renesas Electronics,36.55,20.54,1.37,up,Japan
